model,fold,best_error,final_error,timestamp
mobilenetv3,0,2.64,2.72,20251227_021810
mobilenetv3,1,4.99,7.07,20251227_022856
mobilenetv3,2,3.73,5.02,20251227_023944
mobilenetv3,3,5.89,8.05,20251227_025032
mobilenetv3,4,3.73,4.89,20251227_030107
mobilenetv3,5,3.82,3.85,20251227_031141
mobilenetv3,6,2.98,3.13,20251227_032214
mobilenetv3,7,4.52,5.14,20251227_033245
mobilenetv3,8,4.87,5.03,20251227_034328
mobilenetv3,9,4.61,5.20,20251227_035408
mobilenetv3,10,4.34,6.61,20251227_040457
mobilenetv3,11,4.93,5.61,20251227_041548
mobilenetv3,12,5.15,5.85,20251227_042619
mobilenetv3,13,3.64,3.79,20251227_043653
mobilenetv3,14,7.19,8.65,20251227_044730
shufflenetv2,0,2.86,3.01,20251227_045859
shufflenetv2,1,5.38,6.06,20251227_051015
shufflenetv2,2,5.18,5.84,20251227_052144
shufflenetv2,3,6.36,7.31,20251227_053316
shufflenetv2,4,4.11,4.48,20251227_054439
shufflenetv2,5,4.01,4.10,20251227_055554
shufflenetv2,6,2.94,3.06,20251227_060716
shufflenetv2,7,4.46,4.84,20251227_061845
shufflenetv2,8,4.74,4.76,20251227_063014
shufflenetv2,9,4.28,4.72,20251227_064131
shufflenetv2,10,6.19,6.82,20251227_065248
shufflenetv2,11,4.44,6.17,20251227_070414
shufflenetv2,12,4.37,4.93,20251227_071534
shufflenetv2,13,3.92,4.26,20251227_072654
shufflenetv2,14,6.17,6.74,20251227_073811
wdmpa_awwd_fixed,0,2.72,2.80,20251227_080159
wdmpa_stride_conv,0,2.67,2.82,20251227_082428
wdmpa_channel_only,0,2.82,2.88,20251227_084607
wdmpa_spatial_only,0,2.80,2.84,20251227_091010
wdmpa_single_scale,0,2.72,2.81,20251227_093254
wdmpa_no_attention,0,2.91,2.98,20251227_095401
